-1	10	-1	-1	13	7	-1	-1	19	7	-1	17	-1	-1	1	5	-1	12	-1	5	-1	-1	-1	-1	-1
10	-1	10	-1	-1	19	-1	20	-1	-1	6	1	4	-1	20	16	-1	7	-1	-1	-1	-1	-1	-1	2
-1	10	-1	-1	9	20	-1	-1	-1	-1	1	-1	-1	7	13	6	-1	-1	13	-1	9	-1	5	-1	-1
-1	-1	-1	-1	12	-1	-1	-1	-1	9	4	1	-1	8	19	-1	15	-1	-1	-1	-1	-1	8	20	19
13	-1	9	12	-1	12	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	17	-1	-1	-1	-1	15	-1	-1
7	19	20	-1	12	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	8	-1	20	-1	11	15	12
-1	-1	-1	-1	-1	7	-1	-1	-1	12	-1	-1	14	7	9	5	-1	-1	2	20	10	-1	17	17	-1
-1	20	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	8	20	15	-1
19	-1	-1	-1	-1	-1	-1	-1	-1	12	14	-1	-1	-1	20	20	6	13	3	3	9	9	-1	-1	-1
7	-1	-1	9	-1	-1	12	-1	12	-1	18	-1	-1	9	18	-1	6	-1	7	-1	-1	6	-1	-1	-1
-1	6	1	4	-1	-1	-1	3	14	18	-1	-1	7	-1	-1	4	18	20	-1	-1	-1	-1	13	7	-1
17	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	19	-1	2	-1	14	-1	-1	15	11	-1	-1
-1	4	-1	-1	-1	-1	14	-1	-1	-1	7	18	-1	-1	7	-1	19	-1	-1	16	-1	16	8	-1	-1
-1	-1	7	8	14	-1	7	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	20	-1	18	16	-1	20	7	-1
1	20	13	19	-1	-1	9	-1	20	18	-1	19	7	-1	-1	17	-1	9	13	-1	-1	-1	13	-1	-1
5	16	6	-1	-1	-1	5	-1	20	-1	4	-1	-1	-1	17	-1	-1	-1	-1	20	6	-1	-1	-1	-1
-1	-1	-1	15	-1	1	-1	-1	6	6	18	2	19	-1	-1	-1	-1	18	-1	16	10	-1	-1	-1	3
12	7	-1	-1	17	-1	-1	-1	13	-1	20	-1	-1	20	9	-1	18	-1	-1	-1	-1	20	-1	7	-1
-1	-1	13	-1	-1	8	2	-1	3	7	-1	14	-1	-1	13	-1	-1	-1	-1	-1	-1	7	-1	-1	-1
5	-1	-1	-1	-1	-1	20	-1	3	-1	-1	-1	16	18	-1	20	16	-1	-1	-1	1	-1	-1	-1	-1
-1	-1	9	-1	-1	20	10	20	9	-1	-1	-1	-1	16	-1	6	10	-1	-1	1	-1	-1	12	-1	3
-1	-1	-1	-1	-1	-1	-1	8	9	6	-1	15	16	-1	-1	-1	-1	20	7	-1	-1	-1	-1	6	-1
-1	-1	5	8	15	11	17	20	-1	-1	13	11	8	20	13	-1	-1	-1	-1	-1	12	-1	-1	-1	-1
-1	-1	-1	20	-1	15	17	15	-1	-1	7	-1	-1	7	-1	-1	-1	7	-1	-1	-1	6	-1	-1	-1
-1	2	-1	19	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	3	-1	-1	-1	-1
