-1	-1	8	-1	-1	14	4	4	13	-1	-1	-1	-1	3	6	-1	10	-1	19	-1	12	-1	9	-1	-1
-1	-1	-1	12	-1	-1	-1	-1	-1	6	-1	-1	13	-1	1	-1	-1	16	1	-1	-1	-1	5	2	3
8	-1	-1	4	-1	-1	8	-1	7	-1	4	-1	-1	-1	14	4	-1	-1	-1	-1	-1	-1	4	-1	-1
-1	12	4	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	15	16	-1	8	-1	19	-1	-1
-1	-1	-1	-1	-1	8	-1	-1	15	-1	-1	14	-1	15	20	-1	-1	-1	7	19	-1	-1	5	10	-1
14	-1	-1	-1	8	-1	-1	16	19	-1	15	12	-1	20	-1	7	-1	9	-1	-1	-1	-1	-1	19	2
4	-1	8	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	2	-1	17	4	-1	1	-1	19	3	16	-1	-1
4	-1	-1	-1	-1	16	8	-1	-1	-1	-1	5	5	-1	-1	-1	-1	13	10	-1	7	-1	-1	-1	13
13	-1	7	-1	15	19	-1	-1	-1	11	-1	16	-1	-1	9	8	-1	-1	9	-1	-1	-1	-1	-1	-1
-1	6	-1	-1	-1	-1	-1	-1	11	-1	16	9	14	-1	-1	15	14	-1	-1	7	-1	2	-1	1	-1
-1	-1	4	18	-1	15	-1	-1	-1	16	-1	5	-1	11	3	-1	-1	-1	-1	-1	6	4	13	20	20
-1	-1	-1	-1	14	12	-1	5	16	9	5	-1	2	3	-1	-1	11	8	16	-1	-1	-1	1	-1	-1
-1	13	-1	-1	-1	-1	-1	5	-1	14	-1	2	-1	14	20	17	13	-1	-1	17	-1	-1	20	-1	-1
3	-1	-1	-1	15	20	2	-1	-1	-1	11	3	14	-1	1	-1	15	-1	20	20	15	15	-1	9	-1
6	1	14	-1	20	-1	-1	-1	9	-1	3	-1	20	1	-1	-1	-1	-1	18	-1	4	-1	16	14	-1
-1	-1	4	-1	-1	7	17	-1	8	15	-1	-1	17	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	16
10	-1	-1	-1	-1	-1	4	-1	-1	14	-1	11	13	15	-1	-1	-1	-1	10	17	-1	-1	-1	-1	-1
-1	16	-1	15	-1	9	-1	13	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	20	-1	12	4	7	-1	-1
19	1	-1	16	7	-1	1	10	9	-1	-1	16	-1	20	18	-1	10	20	-1	-1	17	-1	-1	3	-1
-1	-1	-1	-1	19	-1	-1	-1	-1	7	-1	-1	17	20	-1	14	17	-1	-1	-1	19	10	15	-1	9
12	-1	-1	8	-1	-1	19	7	-1	-1	6	-1	-1	15	4	-1	-1	12	17	19	-1	-1	-1	9	-1
-1	-1	-1	-1	-1	-1	3	-1	-1	2	4	-1	-1	15	-1	-1	-1	4	-1	10	-1	-1	-1	-1	17
9	5	4	19	5	-1	16	-1	-1	-1	13	1	20	-1	16	-1	-1	7	-1	15	-1	-1	-1	-1	-1
-1	2	-1	-1	10	19	-1	-1	-1	1	20	-1	-1	9	14	-1	-1	-1	3	-1	9	-1	-1	-1	-1
-1	3	-1	-1	-1	2	-1	13	-1	-1	20	-1	-1	-1	-1	16	-1	-1	-1	9	-1	17	-1	-1	-1
