-1	9	-1	-1	-1	-1	7	-1	-1	-1	14	19	-1	20	-1	7	-1	13	16	19	17	15	-1	-1	-1	2	19	-1	10	-1	5	-1	19	-1	3	-1	-1	-1	-1	-1	19	10	7	-1	16	-1	13	9	-1	-1	-1	14	-1	-1	4	-1	-1	-1	-1	-1	14	1	-1	6	-1	-1	-1	-1	7	-1	3	-1	6	2	-1	20	-1	10	-1	-1	20	3	11	10	-1	15	17	-1	18	4	-1	-1	16	1	18	-1	-1	-1	18	-1
9	-1	-1	17	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	11	-1	-1	-1	7	-1	16	6	16	13	7	-1	-1	11	-1	-1	-1	15	-1	-1	1	-1	-1	-1	-1	8	-1	-1	14	4	15	-1	-1	-1	19	-1	-1	-1	18	-1	-1	12	12	13	15	-1	5	-1	16	-1	-1	-1	7	2	3	-1	17	-1	11	-1	19	-1	-1	19	-1	7	9	11	7	6	-1	-1	-1	-1	15	-1	-1	9	-1	4	15	-1
-1	-1	-1	-1	1	19	-1	2	-1	-1	2	-1	1	7	-1	18	8	-1	14	19	3	15	-1	17	-1	-1	-1	-1	-1	19	-1	13	-1	8	-1	-1	-1	-1	14	7	20	4	-1	-1	-1	18	-1	-1	5	12	-1	12	-1	-1	19	-1	15	18	-1	-1	18	-1	7	-1	1	3	6	4	-1	-1	-1	2	-1	3	9	-1	-1	-1	3	8	-1	-1	13	17	2	-1	20	3	-1	-1	-1	18	19	-1	12	-1	7	-1	-1	19
-1	17	-1	-1	13	-1	19	-1	-1	-1	15	7	1	4	-1	-1	-1	12	19	-1	14	-1	5	1	16	9	10	-1	-1	-1	-1	-1	10	11	-1	9	12	7	3	-1	-1	18	-1	4	-1	8	-1	-1	-1	-1	-1	8	-1	17	8	-1	-1	7	12	-1	-1	13	-1	6	-1	-1	-1	-1	-1	-1	-1	19	-1	13	-1	-1	3	14	-1	-1	-1	-1	-1	7	-1	4	-1	-1	-1	-1	8	14	6	6	-1	-1	12	7	-1	-1
-1	-1	1	13	-1	-1	-1	5	8	-1	1	-1	4	-1	5	11	-1	-1	-1	-1	3	13	-1	-1	5	-1	-1	2	8	-1	-1	2	12	20	19	-1	11	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	14	-1	10	-1	-1	16	-1	-1	4	-1	19	2	-1	-1	12	-1	-1	-1	14	-1	-1	14	-1	-1	-1	-1	9	-1	2	8	13	-1	2	15	-1	16	-1	-1	-1	-1	-1	-1	-1	13	-1	2	-1	-1	5	1	7	-1
-1	-1	19	-1	-1	-1	-1	18	3	-1	1	-1	10	2	1	-1	15	-1	3	-1	6	-1	7	-1	-1	-1	16	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	2	9	-1	14	-1	18	-1	-1	5	15	16	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	13	-1	12	-1	18	1	7	18	-1	-1	-1	-1	-1	10	-1
7	3	-1	19	-1	-1	-1	7	-1	-1	18	15	11	5	-1	-1	-1	-1	17	11	-1	8	-1	1	3	-1	10	15	13	-1	6	-1	-1	-1	-1	-1	-1	-1	9	10	-1	-1	2	-1	-1	-1	-1	13	6	-1	-1	8	17	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	20	2	-1	-1	-1	-1	-1	-1	-1	19	-1	10	-1	-1	-1	12	-1	-1	4	-1	-1	4	-1	-1	6	12
-1	-1	2	-1	5	18	7	-1	2	7	-1	-1	-1	10	-1	-1	-1	7	-1	10	18	17	4	-1	-1	17	5	-1	-1	-1	20	3	-1	-1	9	6	-1	8	11	-1	-1	-1	-1	-1	-1	17	-1	-1	5	-1	19	-1	-1	-1	10	-1	2	16	-1	6	12	8	-1	1	-1	-1	6	19	6	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	5	16	16	9	15	4	-1	17	-1	19	-1	2	-1
-1	-1	-1	-1	8	3	-1	2	-1	12	-1	-1	-1	17	-1	-1	5	-1	19	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	8	-1	-1	1	-1	-1	3	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	11	11	-1	-1	1	-1	16	-1	-1	-1	3	13	14	-1	14	-1	-1	-1	-1	-1	-1	10	-1	3	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	7	12	-1	11	18	-1	15	-1	15	-1	-1	8	19	10	18	-1	18	-1	18	-1	-1	-1	-1	18	9	16	20	-1	18	5	-1	10	-1	4	-1	-1	-1	19	-1	18	11	6	9	6	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	2	-1	19	10	-1	-1	-1	9	18	-1	16	-1	2	-1	-1	-1	-1	-1	-1	-1	6	18	-1	-1	-1	3	10	-1	3	-1	19	3	-1	3	-1	17
